ASSEMBLY_ID,ASSEMBLY_TYPE,DESCRIPTION,BLANK
"CMT-TINY-1AD-TRANS-CFW-GRP{ST134589}","CMT","TINY-1AD TRANSCOM, Threads 1, 3, 4, 5, 8, 9",
"CMT-TINY-1AD-TRANS-STUB-CFW-GRP{ST134589}","CMT","TINY-1AD Threads 1, 3, 4, 5, 8, 9",
"CMT-SMALL-1AD-TRANS-STUB-CFW-GRP{ST134589}","CMT","SMALL-1AD Threads 1, 3, 4, 5, 8, 9",
"CMT-SMALL-1AD-TRANS-CFW-GRP{ST134589}","CMT","SMALL-1AD TRANSCOM, Threads 1, 3, 4, 5, 8, 9",
"CMT-1AD-TRANS-STUB-CFW-GRP{ST134589}","CMT","FULL-1AD Threads 1, 3, 4, 5, 8, 9",
"CMT-1AD-TRANS-CFW-GRP{ST134589}","CMT","FULL-1AD TRANSCOM, Threads 1, 3, 4, 5, 8, 9",
"COMM-DEFAULT_CONFIG","COMM","Default 1AD Domain Communities",
"RCP-OSCAmmoPacker","RCP","OSCAmmoPacker",
"CMT-SD-1AD-TRANS-STUB-CFW-GRP{ST134589}","CMT","SD-1AD Threads 1, 3, 4, 5, 8, 9",
